epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5113,2.42563,5.6198,1.21857,0,0,0,0,1.67782,6.26792,1.34914,0.00013,0.00013,0.00013
2,195.11,2.20286,4.9792,1.02553,0,0,0,0,1.36482,5.60991,0.96279,0.000251883,0.000251883,0.000251883
3,289.345,2.00718,3.82349,0.96549,0,0,0,0,1.30666,5.30166,0.94246,0.0003604,0.0003604,0.0003604
4,384.425,1.99382,3.97145,0.93557,0.03055,0.83333,0.2264,0.1236,1.16029,5.04421,0.93135,0.00042575,0.00042575,0.00042575
5,478.947,2.04583,3.11485,0.96837,0.93966,0.25,0.31644,0.18079,1.38776,4.55202,0.96592,0.000401,0.000401,0.000401
6,574.396,1.89833,2.96995,0.94042,0.9117,0.25,0.30309,0.17174,1.3182,4.24398,0.93481,0.00037625,0.00037625,0.00037625
7,671.213,2.01512,2.56055,0.96161,0.91441,0.29167,0.36702,0.24101,1.35641,4.14434,0.93747,0.0003515,0.0003515,0.0003515
8,768.897,1.85623,2.44842,0.95744,0.91558,0.29167,0.37679,0.26454,1.19901,4.19993,0.89253,0.00032675,0.00032675,0.00032675
9,864.658,1.88812,2.25221,0.93267,0.92351,0.28081,0.40004,0.24027,1.45461,4.12787,0.93425,0.000302,0.000302,0.000302
10,959.809,1.8392,2.62371,0.9453,0.55308,0.33333,0.40272,0.2401,1.38377,3.89992,0.92152,0.00027725,0.00027725,0.00027725
11,1053.78,1.76152,2.719,0.96239,0.20633,0.33333,0.3505,0.22535,1.29124,3.95106,0.90546,0.0002525,0.0002525,0.0002525
12,1146.81,1.78035,2.40181,0.95841,0.24668,0.49917,0.37623,0.25477,1.29161,4.01695,0.92683,0.00022775,0.00022775,0.00022775
13,1239.56,1.66448,2.60387,0.9399,0.51712,0.33333,0.37014,0.22852,1.29423,3.9764,0.94863,0.000203,0.000203,0.000203
14,1332.72,1.70228,2.42995,0.94477,0.54151,0.33333,0.38009,0.24597,1.26842,3.62102,0.95445,0.00017825,0.00017825,0.00017825
15,1425.25,1.59946,2.42102,0.9341,0.52654,0.33333,0.46916,0.30309,1.2382,3.42691,0.93603,0.0001535,0.0001535,0.0001535
16,1518.49,1.86478,2.58045,0.93977,0.66356,0.5,0.57887,0.36231,1.25055,3.31744,0.95392,0.00012875,0.00012875,0.00012875
17,1611.8,1.60772,2.38084,0.94491,0.35346,0.66667,0.59193,0.34903,1.25907,3.34423,0.9831,0.000104,0.000104,0.000104
18,1706.74,1.57623,2.36459,0.93057,0.28858,0.48812,0.51837,0.32267,1.18625,3.37076,0.98098,7.925e-05,7.925e-05,7.925e-05
19,1801.27,1.64856,2.25431,0.93601,0.293,0.4795,0.59271,0.31019,1.10436,3.30136,0.97104,5.45e-05,5.45e-05,5.45e-05
20,1895.68,1.70313,2.62114,0.90999,0.66127,0.46621,0.48613,0.30097,1.07022,3.34204,0.96593,2.975e-05,2.975e-05,2.975e-05
1,100.862,1.75385,1.96285,0.91251,0.24354,0.5,0.4901,0.32838,1.10442,3.40759,0.90994,0.00013,0.00013,0.00013
2,198.222,1.76083,2.23938,0.92599,0.73714,0.45833,0.58576,0.35216,1.21973,3.17519,0.94458,0.000251883,0.000251883,0.000251883
3,296.778,1.75773,2.02921,0.9279,0.78239,0.5,0.7563,0.43645,1.39403,3.19303,0.99027,0.0003604,0.0003604,0.0003604
4,394.703,1.71331,2.27251,0.88228,0.7577,0.5,0.66606,0.44534,1.18045,2.88924,0.92696,0.00042575,0.00042575,0.00042575
5,492.423,1.73207,1.9943,0.9204,0.35098,0.66667,0.62097,0.46293,1.10031,2.63423,0.93291,0.000401,0.000401,0.000401
6,589.918,1.62874,1.99427,0.90363,0.47914,0.66667,0.54477,0.37588,1.13587,2.76171,0.95619,0.00037625,0.00037625,0.00037625
7,689.312,1.72285,1.78873,0.91822,0.61406,0.5,0.56483,0.43193,1.02965,2.82753,0.96425,0.0003515,0.0003515,0.0003515
8,788.315,1.62089,1.79579,0.91441,0.50618,0.83333,0.5997,0.4839,1.03132,2.54126,0.94991,0.00032675,0.00032675,0.00032675
9,886.561,1.65438,1.68019,0.90403,0.47894,0.83333,0.61171,0.41141,1.23357,2.68189,0.97209,0.000302,0.000302,0.000302
10,985.886,1.59243,2.0166,0.91534,0.60677,0.5,0.74738,0.56758,1.04109,2.57185,0.93391,0.00027725,0.00027725,0.00027725
11,1083.77,1.60837,2.02971,0.95219,0.74738,0.5,0.71559,0.53617,0.99025,2.58072,0.93461,0.0002525,0.0002525,0.0002525
12,1179.87,1.62068,1.89275,0.93424,0.6543,0.5,0.52772,0.39396,1.01703,2.57126,0.93743,0.00022775,0.00022775,0.00022775
13,1276.66,1.56825,2.07168,0.91444,0.65729,0.5,0.51235,0.40825,1.03,2.60128,0.94862,0.000203,0.000203,0.000203
14,1373.09,1.54121,1.90491,0.91722,0.76575,0.45594,0.85756,0.68889,0.97347,2.66044,0.92305,0.00017825,0.00017825,0.00017825
15,1468.72,1.45336,1.89798,0.91329,0.76252,0.5,0.84132,0.65722,0.89065,2.43803,0.90673,0.0001535,0.0001535,0.0001535
16,1565.32,1.71516,2.0688,0.91545,0.5396,0.94834,0.8145,0.6626,0.94126,2.38606,0.92019,0.00012875,0.00012875,0.00012875
17,1661.42,1.4537,1.93369,0.91796,0.38933,0.83333,0.72347,0.57588,1.06609,2.41829,0.94652,0.000104,0.000104,0.000104
